"","Checked","Ion","Charge","Molecular.Weight","m.z","RT..min.","FWHM..min.","X..MI","Area","Parent.Area....","Study.File.ID","X.","beginNum","scanNum","tr","pepmass","endNum","productIon","intensity","neutralLoss","Hex","dHex","Pen","HexA","Mal","Cou","Fur","Sin","DDMP","Caf","mzOfChain","ppm","numOfSugar","k.radio","lable","Algycone"
"1631","false","[M-H]-1","-1","NA","359.134735107421","59.7666666666667","0.142","3","227241.644436151","100","F2","","57709","718","3586","359.1347351074219","58020","197.0812","0.01918253","162.0535",1,0,0,0,0,0,0,0,0,0,162.0528233,4.12707812202543,1,1,"Biggest NL (One)","(2R,3R,4S,5S,6R)-2-[3-Hydroxy-2-(4-Hydroxy-3-Methoxyphenyl)Propoxy]-6-(Hydroxymethyl)Oxane-3,4,5-Triol-Aglycone / 7-Methyl-1-[(2S,3R,4S,5S,6R)-3,4,5-Trihydroxy-6-(Hydroxymethyl)Oxan-2-Yl]Oxy-1,4A,5,6,7,7A-Hexahydrocyclopenta[C]Pyran-4-Carboxylic Acid-Aglycone"
"164","false","[M-H]-1","-1","NA","607.166809082031","60.2666666666667","0.142","3","227241.644436151","100","F2","","58021","724","3616","607.1668090820312","58685","299.056","1","308.1108",1,1,0,0,0,0,0,0,0,0,308.110732,0.370262951455368,2,0.5,"Biggest NL (One)","Diosmetin / Hispidulin / Hydroxygenkwanin / Sorbifolin / Tectorigenine / 7-[(2S,3R,4S,5S,6R)-4,5-Dihydroxy-6-(Hydroxymethyl)-3-[(2S,3R,4R,5R,6S)-3,4,5-Trihydroxy-6-Methyloxan-2-Yl]Oxyoxan-2-Yl]Oxy-5-Hydroxy-2-(4-Hydroxy-3-Methoxyphenyl)Chromen-4-One-Aglycone / 5-Hydroxy-2-(4-Methoxyphenyl)-3-[(2S,3R,4S,5S,6R)-3,4,5-Trihydroxy-6-(Hydroxymethyl)Oxan-2-Yl]Oxy-7-[(2S,3R,4R,5R,6S)-3,4,5-Trihydroxy-6-Methyloxan-2-Yl]Oxychromen-4-One-Aglycone / 5-Hydroxy-3-[(2S,3R,4S,5S)-4-Hydroxy-5-(Hydroxymethyl)-3-[(2S,3R,4R,5R,6S)-3,4,5-Trihydroxy-6-Methyloxan-2-Yl]Oxyoxolan-2-Yl]Oxy-2-(4-Hydroxyphenyl)-7-Methoxychromen-4-One-Aglycone / 4-(3,4-Dihydroxyphenyl)-7-Methoxy-5-[(2S,3R,4S,5S,6R)-3,4,5-Trihydroxy-6-[[(2S,3R,4S,5R)-3,4,5-Trihydroxyoxan-2-Yl]Oxymethyl]Oxan-2-Yl]Oxychromen-2-One-Aglycone"
"165","false","[M-H]-1","-1","NA","591.171936035156","60.5166666666667","0.142","3","227241.644436151","100","F2","","58686","727","3631","591.1719360351562","59565","283.0611","1","308.1108",1,1,0,0,0,0,0,0,0,0,308.110732,0.233796268536081,2,0.5,"Biggest NL (One)","2-Hydroxyformononetin / Wogonin / 5-Hydroxy-3-(4-Methoxyphenyl)-7-[3,4,5-Trihydroxy-6-[(3,4,5-Trihydroxy-6-Methyloxan-2-Yl)Oxymethyl]Oxan-2-Yl]Oxychromen-4-One-Aglycone / 7-O-Beta-Glucopyranosyl-4'-Hydroxy-5-Methoxyisoflavone-Aglycone / 3-(4-Hydroxyphenyl)-7-Methoxy-5-[(3R,4S,5S,6R)-3,4,5-Trihydroxy-6-(Hydroxymethyl)Oxan-2-Yl]Oxychromen-4-One-Aglycone / Trifolirhizin-Aglycone"
"166","...","...","...","...","...","...","...","...","...","...","...","...","58686","727","3631","591.1719360351562","59565","299.0562","0.1587438","292.1157",0,2,0,0,0,0,0,0,0,0,292.1158174,0.261419817538114,2,0.5," ","Diosmetin / Hispidulin / Hydroxygenkwanin / Sorbifolin / Tectorigenine / 7-[(2S,3R,4S,5S,6R)-4,5-Dihydroxy-6-(Hydroxymethyl)-3-[(2S,3R,4R,5R,6S)-3,4,5-Trihydroxy-6-Methyloxan-2-Yl]Oxyoxan-2-Yl]Oxy-5-Hydroxy-2-(4-Hydroxy-3-Methoxyphenyl)Chromen-4-One-Aglycone / 5-Hydroxy-2-(4-Methoxyphenyl)-3-[(2S,3R,4S,5S,6R)-3,4,5-Trihydroxy-6-(Hydroxymethyl)Oxan-2-Yl]Oxy-7-[(2S,3R,4R,5R,6S)-3,4,5-Trihydroxy-6-Methyloxan-2-Yl]Oxychromen-4-One-Aglycone / 5-Hydroxy-3-[(2S,3R,4S,5S)-4-Hydroxy-5-(Hydroxymethyl)-3-[(2S,3R,4R,5R,6S)-3,4,5-Trihydroxy-6-Methyloxan-2-Yl]Oxyoxolan-2-Yl]Oxy-2-(4-Hydroxyphenyl)-7-Methoxychromen-4-One-Aglycone / 4-(3,4-Dihydroxyphenyl)-7-Methoxy-5-[(2S,3R,4S,5S,6R)-3,4,5-Trihydroxy-6-[[(2S,3R,4S,5R)-3,4,5-Trihydroxyoxan-2-Yl]Oxymethyl]Oxan-2-Yl]Oxychromen-2-One-Aglycone"
"1661","false","[M-H]-1","-1","NA","357.119110107421","61.0166666666667","0.142","3","227241.644436151","100","F2","","59566","733","3661","357.1191101074219","60468","93.03318","0.04698122","264.0859",0,0,2,0,0,0,0,0,0,0,264.0845172,5.33882072898154,2,0.5,"Biggest NL (One)","No matched algycone"
"167","...","...","...","...","...","...","...","...","...","...","...","...","59566","733","3661","357.1191101074219","60468","195.0654","0.01138163","162.0537",1,0,0,0,0,0,0,0,0,0,162.0528233,5.70679439804557,1,1," ","(2S,3S,4S,5R,6R)-6-(3-Benzoyloxy-2-Hydroxypropoxy)-3,4,5-Trihydroxyoxane-2-Carboxylic Acid / Xanthoxyline / 2-Hydroxy-4-Methoxybenzenepropanoic Acid / Sweroside-Aglycone"
"1671","false","[M-H]-1","-1","NA","595.166809082031","61.2666666666667","0.142","3","227241.644436151","100","F2","","60469","736","3676","595.1668090820312","60949","287.0559","0.2694099","308.1109",1,1,0,0,0,0,0,0,0,0,308.110732,0.603944944404055,2,0.5,"Biggest NL (One)","Eriodictyol / Dihydrokaempferol / 2-Hydroxyisoflavanone Naringenin / 8C-Glucosyl-2-Hydroxynaringenin / 2,6-Dihydroxy-2-[(4-Hydroxyphenyl)Methyl]-4-[(2S,3R,4S,5S,6R)-3,4,5-Trihydroxy-6-[[(2R,3R,4R,5R,6S)-3,4,5-Trihydroxy-6-Methyloxan-2-Yl]Oxymethyl]Oxan-2-Yl]Oxy-1-Benzofuran-3-One-Aglycone / 2-Hydroxynaringenin"
"168","false","[M-H]-1","-1","NA","609.182495117187","61.5166666666667","0.142","3","227241.644436151","100","F2","","60950","739","3691","609.1824951171875","61458","301.0717","1","308.1108",1,1,0,0,0,0,0,0,0,0,308.110732,0.130203780996878,2,0.5,"Biggest NL (One)","2,5,7-Trihydroxy-4'-Methoxyisoflavanone / 5-Hydroxy-2-(3-Hydroxy-4-Methoxyphenyl)-7-[(2S,3R,4S,5S,6R)-3,4,5-Trihydroxy-6-[[(2R,3R,4R,5R,6S)-3,4,5-Trihydroxy-6-Methyloxan-2-Yl]Oxymethyl]Oxan-2-Yl]Oxy-2,3-Dihydrochromen-4-One-Aglycone"
"169","false","[M-H]-1","-1","NA","445.114013671875","61.7666666666667","0.142","3","227241.644436151","100","F2","","61459","742","3706","445.114013671875","62079","137.0234","0.01004732","308.0906",0,0,1,0,0,0,1,0,0,0,308.0896039,3.12171803406668,2,0.5," ","3,4-Dihydroxybenzaldehyde / Gentisate Aldehyde / Salicylic Acid / P-Hydroxybenzoic Acid"
"170","...","...","...","...","...","...","...","...","...","...","...","...","61459","742","3706","445.114013671875","62079","137.0234","0.01004732","308.0906",0,1,0,0,0,0,0,0,0,1,308.089604,3.12139345429442,2,1,"Biggest NL (One)","3,4-Dihydroxybenzaldehyde / Gentisate Aldehyde / Salicylic Acid / P-Hydroxybenzoic Acid"
