"","beginNum","scanNum","tr","pepmass","endNum","productIon","intensity","neutralLoss","Hex","dHex","Pen","HexA","Mal","Cou","Fur","Sin","DDMP","Caf","mzOfChain","ppm","numOfSugar","k.radio","lable"
"37956","129820","3009","110","413.14532102942","130480","135.0441","0.01561764","278.1012",0,1,1,0,0,0,0,0,0,0,278.1001673,3.66316100449999,2,0.5," "
"25084","129820","3009","110","413.14532102942","130480","149.0598","0.02598926","264.0856",0,0,2,0,0,0,0,0,0,0,264.0845172,3.9677648413475,2,0.5,"Biggest NL (One)"
"51314","130481","3010","120","423.12967096528","130759","115.0389","0.02044581","308.0908",1,0,0,0,0,1,0,0,0,0,308.0895986,3.80525932776147,2,0.5," "
"37957","130481","3010","120","423.12967096528","130759","145.0285","0.3971698","278.1012",0,1,1,0,0,0,0,0,0,0,278.1001673,3.67012197062873,2,0.5,"Biggest NL (One)"
"51315","130760","3011","130","455.13475634572","131059","147.044","0.03283692","308.0907",1,0,0,0,0,1,0,0,0,0,308.0895986,3.61823862824453,2,0.5," "
"3129","130760","3011","130","455.13475634572","131059","163.0391","0.0703863","292.0956",0,1,0,0,0,1,0,0,0,0,292.094684,3.23300189522656,2,0.5,"Biggest NL (One)"
"2523","131060","3012","140","593.18757976422","131373","123.044","0.39258","470.1436",0,0,2,0,0,0,0,1,0,0,470.1424225,2.39982919726229,3,0.3333,"Biggest NL (Multiple)"
"7077","131060","3012","140","593.18757976422","131373","123.044","0.39258","470.1436",2,0,0,0,0,1,0,0,0,0,470.1424219,2.40110540302234,3,0.3333,"Biggest NL (Multiple)"
"5026","131060","3012","140","593.18757976422","131373","225.0765","0.02186798","368.1111",1,0,0,0,0,0,0,1,0,0,368.1107286,0.929513527934615,2,0.5," "
"51316","131374","3014","160","471.12967096528","131566","163.0391","0.1851356","308.0906",1,0,0,0,0,1,0,0,0,0,308.0895986,3.2112804436974,2,0.5,"Biggest NL (One)"
"6953","131969","3017","190","887.28266191752","132363","125.0232","0.08318432","762.2595",1,3,0,0,0,0,0,0,0,1,762.2582447,1.58635949218125,5,0.2," "
"6743","131969","3017","190","887.28266191752","132363","153.0547","0.01519126","734.228",1,1,2,0,0,0,0,0,0,1,734.2269445,1.37207731956065,5,0.8,"Biggest NL (One)"
"3796","131969","3017","190","887.28266191752","132363","447.1505","0.05435618","440.1322",0,1,1,0,0,0,0,0,0,1,440.1318626,0.673246691914919,3,0.6667," "
"2509","131969","3017","190","887.28266191752","132363","461.1664","0.02264448","426.1162",0,0,2,0,0,0,0,0,0,1,426.1162125,0.0244476024190452,3,0.6667," "
"17172","131969","3017","190","887.28266191752","132363","593.2086","0.1673388","294.0741",0,0,1,0,0,0,0,0,0,1,294.0739539,0.506734590151431,2,0.5," "
"6788","132364","3018","200","769.25605324686","132822","153.0546","0.01458572","616.2014",1,2,0,0,0,0,0,0,0,1,616.200336,1.76443419151708,4,0.5,"Biggest NL (One)"
"30043","132364","3018","200","769.25605324686","132822","461.1662","0.03082529","308.0898",0,1,0,0,0,0,0,0,0,1,308.089604,0.747336764956122,2,0.5," "
"7022","132823","3019","210","753.22475311858","133271","223.0608","0.1921319","530.164",2,0,0,0,0,0,0,1,0,0,530.1635519,0.809595889835245,3,0.3333,"Biggest NL (One)"
"6623","133272","3020","220","755.24040318272","133703","153.0547","0.01346188","602.1857",1,1,1,0,0,0,0,0,0,1,602.1846859,1.70260220568709,4,0.75,"Biggest NL (One)"
"37961","133272","3020","220","755.24040318272","133703","315.1085","0.02763646","440.1319",0,1,1,0,0,0,0,0,0,1,440.1318626,0.103566042623973,3,0.6667," "
"17173","133272","3020","220","755.24040318272","133703","461.1665","0.07195859","294.0739",0,0,1,0,0,0,0,0,0,1,294.0739539,0.0534466947475639,2,0.5," "
"66231","134698","3024","260","755.24040318272","135108","153.0547","0.01252345","602.1857",1,1,1,0,0,0,0,0,0,1,602.1846859,1.61791086107682,4,0.75,"Biggest NL (One)"
"37962","134698","3024","260","755.24040318272","135108","315.1086","0.0289297","440.1318",0,1,1,0,0,0,0,0,0,1,440.1318626,0.116822457984307,3,0.6667," "
"17174","134698","3024","260","755.24040318272","135108","461.1666","0.07908982","294.0738",0,0,1,0,0,0,0,0,0,1,294.0739539,0.563522784515041,2,0.5," "
"7503","135109","3025","270","785.25096786642","135620","153.0547","0.01489852","632.1963",2,1,0,0,0,0,0,0,0,1,632.1952506,1.5932812121667,4,0.75,"Biggest NL (One)"
"62931","135109","3025","270","785.25096786642","135620","315.1085","0.03700732","470.1425",1,1,0,0,0,0,0,0,0,1,470.1424273,0.15860386931566,3,0.6667," "
"50065","135109","3025","270","785.25096786642","135620","461.1665","0.1054593","324.0845",1,0,0,0,0,0,0,0,0,1,324.0845186,0.138030617382238,2,0.5," "
"30044","135621","3026","280","623.19814444792","136026","315.1085","0.03531702","308.0897",0,1,0,0,0,0,0,0,0,1,308.089604,0.264364319454539,2,0.5,"Biggest NL (One)"
"67881","136027","3028","300","769.25605324686","136457","153.0546","0.0252704","616.2015",1,2,0,0,0,0,0,0,0,1,616.200336,1.87803319637785,4,0.75,"Biggest NL (One)"
"4291","136027","3028","300","769.25605324686","136457","315.1083","0.03963078","454.1478",0,2,0,0,0,0,0,0,0,1,454.1475127,0.56930117553773,3,0.6667," "
"30045","136027","3028","300","769.25605324686","136457","461.1661","0.1115475","308.0899",0,1,0,0,0,0,0,0,0,1,308.089604,1.06867126947757,2,0.5," "
"7501","136458","3029","310","925.29831198166","136871","73.02811","0.01326514","852.2702",2,0,4,0,0,0,0,0,0,0,852.274681,5.2589171196749,6,0.1667," "
"6786","136458","3029","310","925.29831198166","136871","89.02308","0.02519838","836.2752",1,1,4,0,0,0,0,0,0,0,836.2797664,5.4197687027002,6,0.1667," "
"2999","136458","3029","310","925.29831198166","136871","119.049","0.04829216","806.2493",0,0,5,0,0,1,0,0,0,0,806.2480683,1.58224210615057,6,0.1667,"Biggest NL (One)"
"79781","136458","3029","310","925.29831198166","136871","145.0492","0.01801419","780.2491",4,0,1,0,0,0,0,0,0,0,780.2535518,5.71845375687666,5,0.2," "
